round_id,scene_id,qx,qy,qz,qw,x,y,z,width,score,label,integration_time,planning_time
0,577863886d4048788f826c8748b08cc6,0.8886790376586373,-0.4391066183887501,-0.11681302769638564,-0.06156023289200881,0.22500000000000003,0.24750000000000005,0.12750000000000003,0.04968504309654237,0.9584245,1,0.0032269954681396484,0.1529226303100586
0,4acf0afdb4564a6fa52cb5b395d23b38,0.6416131178281272,-0.7626558447480708,-0.044155358719495094,-0.06884020481396523,0.07500000000000001,0.022500000000000006,0.12000000000000002,0.05019659399986268,0.9467463,1,0.015262365341186523,0.008006572723388672
0,5a9485202e134000812032e3f233608b,0.6918505762481144,-0.6923723553335366,0.0018156044824270664,-0.20484141499073458,0.21000000000000005,0.11250000000000002,0.12000000000000002,0.04559388756752015,0.9614382,1,0.002077341079711914,0.007037162780761719
0,b3c2739bf25a480194e6445f5d666d26,0.8071272363538953,-0.579106909386076,-0.05814466302820722,-0.09899499986548194,0.06000000000000001,0.09750000000000002,0.11250000000000002,0.042720987796783454,0.90640235,1,0.0020885467529296875,0.006826639175415039
0,d7be06bb0b784fe1a55405dfaa02e327,0.8061381693019763,-0.19478267708098726,0.528928704626749,0.18009826796915962,0.09750000000000002,0.19500000000000003,0.09000000000000002,0.04971612811088563,0.6394863,1,0.0024709701538085938,0.007371664047241211
1,1f12159472194aad8a2312fd03ccbc3d,0.964920360406349,0.022777673292284608,-0.2595390727045121,-0.03239360141067351,0.2700000000000001,0.09000000000000002,0.11250000000000002,0.05676635026931764,0.86142725,1,0.0021560192108154297,0.007042407989501953
1,0f071fde34b747388869ce38c0615661,0.5984560318424943,-0.741363891341826,-0.21939933546339127,-0.2099854522676819,0.16500000000000004,0.05250000000000001,0.12000000000000002,0.043575317859649666,0.9070795,1,0.0024461746215820312,0.007256269454956055
1,72e75a39ad8b42149807da8ece509b89,0.971680585327329,-0.22809049575320503,0.06156307110156041,-0.004642641655428199,0.20250000000000004,0.13500000000000004,0.10500000000000002,0.05126080870628358,0.64704186,1,0.012243509292602539,0.007536172866821289
1,76b611a456634c4a8b923150820d4274,0.47995489501672317,-0.7855175191131984,0.19183726774148852,0.3402998510449464,0.14250000000000002,0.24000000000000005,0.10500000000000002,0.061624553203582774,0.64506686,1,0.0023491382598876953,0.006716012954711914
1,299c75e390734bb9be9142c27be96afc,0.46705431901043953,-0.8037348671569228,-0.14719785174657227,-0.3379398154274403,0.18000000000000005,0.07500000000000001,0.11250000000000002,0.045425097942352305,0.95429057,1,0.0020945072174072266,0.00821232795715332
2,d4121f87f8b248c28b8e8f1609d06859,0.6624714606489844,-0.742497847299105,-0.09074501521092546,0.03992308600503054,0.20250000000000004,0.09750000000000002,0.13500000000000004,0.047068047523498545,0.9286184,1,0.008685827255249023,0.009883880615234375
2,514235157be0456fb79c525713642071,0.9876403122818046,-0.011878520356848743,0.1332734283652655,-0.0816315355839873,0.08250000000000002,0.030000000000000006,0.12000000000000002,0.053695571422576915,0.9207046,1,0.002155780792236328,0.008129596710205078
2,1d275f2058e84180abb2a7294aaa2af1,0.493283715773512,-0.8351684069561386,-0.20040060176460403,-0.13785683366234397,0.14250000000000002,0.12750000000000003,0.12000000000000002,0.05449361801147462,0.79943365,1,0.002115964889526367,0.009234905242919922
2,ca99022f862147a89f8fd8a5d0576663,0.9022752455336702,-0.41118743426060816,-0.0933955975748668,-0.09000854157782236,0.09000000000000002,0.11250000000000002,0.12000000000000002,0.052056698799133314,0.9690528,1,0.002035379409790039,0.007490634918212891
2,715f40967ea64c26a1c58b453ce3ba3f,0.8351878101767449,-0.2592926675453224,0.43132669632141607,0.22177897855716014,0.16500000000000004,0.23250000000000004,0.09000000000000002,0.04586614608764649,0.6730175,1,0.0020546913146972656,0.007477283477783203
